"","V1","V2"
"1",194,0.539593552908199
"2",21,0.234407848633497
"3",9,0.149964961457603
"4",39,0.297827610371409
"5",28,0.26208829712684
"6",37,0.292571829011913
"7",0,0.0325858444288718
"8",15,0.19656622284513
"9",7,0.127540294323756
"10",8,0.142256482130343
"11",30,0.271548703573931
"12",3,0.0840925017519271
"13",163,0.514716187806587
"14",134,0.487035739313245
"15",50,0.327960756832516
"16",11,0.166783461807989
"17",19,0.223195515066573
"18",16,0.203573931324457
"19",40,0.299929922915207
"20",51,0.333216538192011
"21",31,0.27645409950946
"22",13,0.184302733006307
"23",59,0.351786965662228
"24",123,0.469866853538893
"25",103,0.443587946741416
"26",77,0.397337070777856
"27",22,0.240364400840925
"28",20,0.228801681850035
"29",24,0.247021723896286
"30",33,0.28135949544499
"31",1,0.0536089698668535
"32",4,0.098458304134548
"33",110,0.451296426068676
"34",12,0.175543097407148
"35",10,0.157673440784863
"36",2,0.0693763139453399
"37",6,0.118430273300631
"38",46,0.316748423265592
"39",14,0.190609670637701
"40",5,0.108969866853539
"41",63,0.360896986685354
"42",56,0.3458304134548
"43",45,0.31499649614576
"44",57,0.347582340574632
"45",36,0.289768745620182
"46",18,0.217238962859145
"47",52,0.337421163279608
"48",108,0.448493342676945
"49",239,0.571829011913104
"50",68,0.374211632796076
"51",199,0.543097407147863
"52",209,0.549754730203224
"53",85,0.412403644008409
"54",55,0.343377715487036
"55",107,0.448142957252978
"56",602,0.720042046250876
"57",165,0.517519271198318
"58",60,0.353188507358094
"59",42,0.306236860546601
"60",148,0.504204625087596
"61",29,0.268395234758234
"62",74,0.389978976874562
"63",291,0.60406447091801
"64",514,0.690259285213735
"65",144,0.499649614576034
"66",384,0.645760336370007
"67",843,0.777154870357393
"68",854,0.78030833917309
"69",381,0.644008409250175
"70",213,0.552557813594954
"71",286,0.598808689558514
"72",2207,0.947091800981079
"73",329,0.627540294323756
"74",256,0.579887876664331
"75",416,0.657323055360897
"76",58,0.347932725998598
"77",90,0.419411352487737
"78",933,0.794674141555711
"79",1202,0.83812193412754
"80",287,0.599859845830413
"81",963,0.801681850035039
"82",2084,0.939032936229853
"83",195,0.539943938332165
"84",930,0.793622985283812
"85",533,0.697967764540995
"86",833,0.773651016117729
"87",5141,0.998948843728101
"88",581,0.714085494043448
"89",646,0.729852838121934
"90",132,0.484933426769446
"91",95,0.430273300630694
"92",168,0.519621583742116
"93",2941,0.975473020322355
"94",895,0.786965662228451
"95",1242,0.844078486334969
"96",1097,0.822004204625088
"97",909,0.790119131044149
"98",639,0.728100911002102
"99",1074,0.820602662929222
"100",2282,0.952347582340575
"101",717,0.749824807288017
"102",668,0.73791170287316
"103",482,0.679397337070778
"104",111,0.452347582340575
"105",877,0.783461807988788
"106",137,0.491240364400841
"107",379,0.643307638402242
"108",176,0.525578135949545
"109",543,0.701471618780659
"110",1234,0.842326559215137
"111",1163,0.832866152768045
"112",1575,0.891030133146461
"113",987,0.806587245970568
"114",996,0.807638402242467
"115",676,0.739313244569026
"116",231,0.566573230553609
"117",217,0.556762438682551
"118",25,0.250875963559916
"119",817,0.770847932725999
"120",771,0.759635599159075
"121",2272,0.951646811492642
"122",651,0.7312543798178
"123",146,0.501751927119832
"124",206,0.548002803083392
"125",844,0.77750525578136
"126",879,0.783812193412754
"127",267,0.587946741415557
"128",174,0.524176594253679
"129",41,0.301681850035039
"130",966,0.80343377715487
"131",87,0.41520672740014
"132",43,0.309039943938332
"133",3337,0.987736510161177
"134",1326,0.860196215837421
"135",761,0.758234057463209
"136",2398,0.958654519971969
"137",2427,0.959705676243868
"138",3318,0.987386124737211
"139",988,0.806937631394534
"140",1874,0.923615977575333
"141",1287,0.852838121934128
"142",798,0.764540995094604
"143",509,0.688507358093903
"144",285,0.597757533286615
"145",1302,0.855641205325858
"146",1795,0.915557112824107
"147",594,0.717939733707078
"148",3854,0.995444989488437
"149",1330,0.860896986685354
"150",67,0.370357393132446
"151",263,0.584092501751927
"152",2785,0.971268395234758
"153",3898,0.99614576033637
"154",1117,0.82655921513665
"155",2183,0.944639103013315
"156",1587,0.893833216538192
"157",70,0.377715487035739
"158",447,0.666783461807989
"159",266,0.586895585143658
"160",1296,0.854940434477926
"161",1821,0.919411352487737
"162",3057,0.979677645409951
"163",80,0.405045550105116
"164",578,0.713384723195515
"165",1684,0.904344779257183
"166",1809,0.918710581639804
"167",273,0.590749824807288
"168",921,0.79187105816398
"169",1998,0.932025227750526
"170",1500,0.881920112123336
"171",344,0.631394533987386
"172",245,0.574632095304835
"173",191,0.536440084092502
"174",1042,0.815697266993693
"175",1404,0.866152768044849
"176",502,0.685353889278206
"177",3011,0.977925718290119
"178",595,0.718290119131044
"179",551,0.704625087596356
"180",1295,0.854239663629993
"181",1705,0.906447091800981
"182",262,0.583041345480028
"183",1184,0.836019621583742
"184",1962,0.930273300630694
"185",1442,0.87281009110021
"186",555,0.706377014716188
"187",282,0.596706377014716
"188",147,0.502803083391731
"189",113,0.456902592852137
"190",1422,0.868605466012614
"191",3032,0.979327259985985
"192",81,0.406096706377015
"193",1281,0.851436580238262
"194",160,0.513314646110722
"195",2435,0.960056061667835
"196",218,0.557112824106517
"197",1930,0.927119831814996
"198",1578,0.891730903994394
"199",76,0.394183601962158
"200",618,0.723195515066573
"201",83,0.409950946040645
"202",26,0.254730203223546
"203",2119,0.941485634197617
"204",658,0.734407848633497
"205",2669,0.968815697266994
"206",1665,0.902242466713385
"207",117,0.464260686755431
"208",1413,0.866853538892782
"209",2194,0.945339873861247
"210",3780,0.994393833216538
"211",2108,0.940434477925718
"212",1672,0.902592852137351
"213",1222,0.840574632095305
"214",1061,0.81885073580939
"215",161,0.513665031534688
"216",140,0.493693062368605
"217",2316,0.955150665732306
"218",3186,0.982831114225648
"219",97,0.434127540294324
"220",166,0.518220042046251
"221",753,0.756482130343378
"222",732,0.75332866152768
"223",1537,0.887876664330764
"224",1829,0.920112123335669
"225",1213,0.839173090399439
"226",38,0.295374912403644
"227",409,0.654870357393132
"228",17,0.209880868955851
"229",99,0.436580238262088
"230",1318,0.858444288717589
"231",153,0.508409250175193
"232",542,0.701121233356692
"233",1100,0.82270497547302
"234",232,0.567974772249474
"235",188,0.53468815697267
"236",260,0.581639803784163
"237",316,0.618079887876664
"238",378,0.642957252978276
"239",438,0.663629992992292
"240",1435,0.871058163980378
"241",864,0.78135949544499
"242",177,0.526629292221444
"243",116,0.462158374211633
"244",49,0.324456902592852
"245",654,0.732305536089699
"246",806,0.767694463910301
"247",849,0.778206026629292
"248",104,0.444989488437281
"249",171,0.520672740014015
"250",300,0.608269096005606
"251",246,0.575332866152768
"252",1254,0.846881569726699
"253",740,0.75437981779958
"254",79,0.402592852137351
"255",124,0.470918009810792
"256",129,0.480378416257884
"257",531,0.697266993693062
"258",700,0.746320953048353
"259",307,0.613174491941135
"260",577,0.712683952347582
"261",109,0.450595655220743
"262",64,0.363349684653118
"263",154,0.509460406447092
"264",412,0.656972669936931
"265",450,0.668535388927821
"266",616,0.722845129642607
"267",349,0.633496846531184
"268",35,0.287666433076384
"269",89,0.418009810791871
"270",640,0.728451296426069
"271",221,0.559565522074282
"272",27,0.257883672039243
"273",407,0.653819201121233
"274",374,0.641205325858444
"275",229,0.564821303433777
"276",61,0.354239663629993
"277",172,0.522074281709881
"278",227,0.562368605466013
"279",142,0.495795374912404
"280",121,0.467063770147162
"281",84,0.411002102312544
"282",44,0.312193412754029
"283",48,0.322354590049054
"284",101,0.440084092501752
"285",69,0.375963559915908
"286",114,0.459004905395936
"287",693,0.744569025928521
"288",470,0.673791170287316
"289",127,0.477925718290119
"290",72,0.3843728100911
"291",288,0.600911002102313
"292",488,0.680798878766643
"293",476,0.675893482831114
"294",873,0.782761037140855
"295",91,0.422214435879467
"296",492,0.682901191310441
"297",358,0.636650315346882
"298",2226,0.948843728100911
"299",280,0.595655220742817
"300",506,0.687105816398038
"301",1270,0.850035038542397
"302",321,0.621934127540294
"303",946,0.798878766643308
"304",215,0.554660126138753
"305",1912,0.925017519271198
"306",5250,0.999649614576034
"307",667,0.737561317449194
"308",641,0.728801681850035
"309",1322,0.859495444989488
"310",943,0.798177995795375
"311",122,0.468114926419061
"312",1725,0.908199018920813
"313",3081,0.98072880168185
"314",904,0.787666433076384
"315",1185,0.836370007007708
"316",1160,0.832515767344079
"317",96,0.431324456902593
"318",938,0.797477224947442
"319",678,0.739663629992992
"320",2558,0.964260686755431
"321",652,0.731955150665732
"322",711,0.748773651016118
"323",421,0.659074982480729
"324",1285,0.851786965662228
"325",399,0.651716888577435
"326",1504,0.882620882971268
