"","V1","V2"
"1",194,0.456902592852137
"2",21,0.158374211632796
"3",9,0.0928521373510862
"4",39,0.220742817098809
"5",28,0.185353889278206
"6",37,0.215136650315347
"7",1,0.0283812193412754
"8",155,0.427119831814997
"9",98,0.347231955150666
"10",7,0.0784863349684653
"11",8,0.0872459705676244
"12",30,0.195164681149264
"13",3,0.0480028030833917
"14",0,0.0182200420462509
"15",163,0.430974071478626
"16",134,0.40364400840925
"17",50,0.251226348983882
"18",82,0.323756131744919
"19",11,0.105466012613875
"20",19,0.149964961457603
"21",16,0.13104414856342
"22",40,0.22354590049054
"23",4,0.058864751226349
"24",51,0.256131744919411
"25",31,0.20042046250876
"26",13,0.116678346180799
"27",59,0.274001401541696
"28",123,0.385073580939033
"29",103,0.356341976173791
"30",77,0.313244569025929
"31",22,0.163629992992292
"32",20,0.155220742817099
"33",24,0.169236159775753
"34",33,0.205325858444289
"35",110,0.366503153468816
"36",32,0.202522775052558
"37",47,0.242466713384723
"38",10,0.0977575332866153
"39",2,0.0378416257883672
"40",6,0.0718290119131044
"41",15,0.125087596355992
"42",46,0.23896285914506
"43",66,0.287666433076384
"44",14,0.11948142957253
"45",5,0.0651716888577435
"46",63,0.28135949544499
"47",56,0.268395234758234
"48",45,0.237210932025228
"49",95,0.345129642606868
"50",57,0.269796776454099
"51",36,0.212683952347582
"52",18,0.143307638402242
"53",84,0.327610371408549
"54",52,0.259985984583041
"55",108,0.362648913805186
"56",239,0.487386124737211
"57",68,0.293272599859846
"58",150,0.422564821303434
"59",199,0.460756832515767
"60",209,0.466362999299229
"61",85,0.329712683952348
"62",55,0.266292922214436
"63",107,0.361597757533287
"64",602,0.652067274001402
"65",165,0.434127540294324
"66",60,0.275052557813595
"67",427,0.583041345480028
"68",148,0.420812894183602
"69",29,0.190960056061668
"70",12,0.111422564821303
"71",74,0.305536089698669
"72",291,0.520322354590049
"73",514,0.617729502452698
"74",144,0.416257883672039
"75",384,0.566222845129643
"76",843,0.725648213034338
"77",854,0.729152067274001
"78",381,0.564120532585844
"79",213,0.46916608269096
"80",286,0.516117729502453
"81",2207,0.935879467414156
"82",329,0.545199719691661
"83",256,0.497196916608269
"84",460,0.59635599159075
"85",416,0.578135949544499
"86",58,0.270147161878066
"87",90,0.337421163279608
"88",933,0.748773651016118
"89",1202,0.80343377715487
"90",287,0.516468114926419
"91",963,0.757883672039243
"92",2084,0.923966362999299
"93",1954,0.911702873160476
"94",930,0.747372109320252
"95",533,0.627890679747723
"96",833,0.721793973370708
"97",5141,0.998948843728101
"98",581,0.645760336370007
"99",646,0.665031534688157
"100",1320,0.826909600560617
"101",954,0.756131744919411
"102",137,0.408549404344779
"103",1687,0.882971268395235
"104",2941,0.970217238962859
"105",895,0.73791170287316
"106",1242,0.809390329362298
"107",1097,0.783111422564821
"108",909,0.741415557112824
"109",950,0.754730203223546
"110",639,0.663279607568325
"111",1074,0.78135949544499
"112",2282,0.942536790469516
"113",717,0.690259285213735
"114",566,0.640504555010512
"115",668,0.674842326559215
"116",482,0.604414856341976
"117",111,0.367554309740715
"118",877,0.733707077785564
"119",1376,0.833216538192011
"120",379,0.563770147161878
"121",1769,0.89208128941836
"122",688,0.682550805886475
"123",543,0.631744919411352
"124",1234,0.807638402242467
"125",1163,0.796776454099509
"126",1575,0.866152768044849
"127",987,0.765592151366503
"128",996,0.766643307638402
"129",676,0.676944639103013
"130",231,0.482130343377715
"131",217,0.473370707778556
"132",100,0.350735809390329
"133",25,0.173090399439383
"134",817,0.717939733707078
"135",771,0.70427470217239
"136",2272,0.941836019621584
"137",651,0.666783461807989
"138",511,0.6156271899089
"139",1461,0.847231955150666
"140",1469,0.84968465311843
"141",2068,0.921864050455501
"142",844,0.725998598458304
"143",879,0.73405746320953
"144",267,0.504905395935529
"145",174,0.441135248773651
"146",41,0.225297827610371
"147",966,0.759985984583041
"148",875,0.733006306937631
"149",433,0.585143658023826
"150",3337,0.98458304134548
"151",1326,0.828661527680449
"152",761,0.702172389628591
"153",2398,0.949544498948844
"154",2427,0.950946040644709
"155",3318,0.984232655921514
"156",988,0.76594253679047
"157",1874,0.905045550105116
"158",1287,0.819201121233357
"159",798,0.710231254379818
"160",509,0.615276804484933
"161",285,0.515066573230554
"162",1302,0.822354590049054
"163",1795,0.895585143658024
"164",594,0.649964961457603
"165",3854,0.994744218640505
"166",1330,0.829362298528381
"167",675,0.676243868255081
"168",2638,0.960056061667835
"169",2785,0.964611072179397
"170",3898,0.995444989488437
"171",1117,0.787666433076384
"172",2183,0.932725998598458
"173",1587,0.869306236860547
"174",703,0.686405045550105
"175",447,0.591450595655221
"176",266,0.50385423966363
"177",1296,0.821653819201121
"178",1821,0.900140154169587
"179",518,0.618780658724597
"180",3057,0.974772249474422
"181",801,0.711632796075683
"182",578,0.645059565522074
"183",1684,0.882620882971268
